Id,Gender,Age,Age Group,Income,Occupation,Location,Education Level
1,Male,64,56+,102798,Manager,Houston,Bachelor's
2,Female,61,56+,29268,Doctor,Miami,PhD
3,Male,20,18-25,106807,Freelancer,New York,High School
4,Male,54,46-55,32185,Teacher,Chicago,Master's
5,Male,24,18-25,83704,Engineer,Chicago,PhD
6,Female,38,36-45,106779,Doctor,New York,PhD
7,Male,26,26-35,59099,Doctor,Miami,Master's
8,Male,56,56+,28571,Student,New York,PhD
9,Male,35,26-35,58044,Manager,Chicago,Master's
10,Female,21,18-25,71214,Teacher,Los Angeles,Bachelor's
11,Male,42,36-45,81228,Engineer,Houston,Master's
12,Male,31,26-35,68984,Student,Chicago,Master's
13,Male,26,26-35,60774,Manager,New York,Master's
14,Male,43,36-45,22568,Student,Houston,PhD
15,Female,19,18-25,82592,Freelancer,New York,PhD
16,Male,37,36-45,87563,Manager,New York,Master's
17,Female,45,36-45,22695,Manager,Los Angeles,PhD
18,Female,64,56+,68190,Teacher,Houston,High School
19,Female,24,18-25,25258,Manager,Houston,High School
20,Male,61,56+,107538,Student,Los Angeles,PhD
21,Female,25,18-25,59504,Manager,Chicago,PhD
22,Male,64,56+,53159,Teacher,New York,Master's
23,Female,52,46-55,33986,Teacher,Miami,Bachelor's
24,Female,31,26-35,81858,Freelancer,New York,PhD
25,Female,34,26-35,32666,Student,New York,High School
26,Female,53,46-55,58660,Doctor,Chicago,Master's
27,Female,57,56+,23561,Doctor,New York,PhD
28,Female,21,18-25,46854,Manager,Los Angeles,High School
29,Female,19,18-25,84505,Freelancer,Los Angeles,High School
30,Female,23,18-25,72251,Engineer,Houston,Bachelor's
31,Male,59,56+,42662,Manager,Miami,Master's
32,Male,21,18-25,28392,Freelancer,New York,Master's
33,Female,46,46-55,50535,Student,New York,Bachelor's
34,Female,35,26-35,98603,Student,Chicago,Bachelor's
35,Female,43,36-45,72256,Student,Los Angeles,Master's
36,Male,61,56+,109135,Student,Miami,Master's
37,Female,51,46-55,55222,Student,Houston,PhD
38,Male,27,26-35,97373,Freelancer,Los Angeles,PhD
39,Male,53,46-55,99575,Freelancer,Houston,Bachelor's
40,Male,31,26-35,116354,Teacher,Chicago,PhD
41,Male,48,46-55,104651,Doctor,Chicago,High School
42,Male,32,26-35,83335,Student,New York,PhD
43,Female,25,18-25,30965,Engineer,Miami,PhD
44,Female,31,26-35,44538,Freelancer,Houston,High School
45,Female,40,36-45,90592,Engineer,Los Angeles,Bachelor's
46,Female,57,56+,118018,Engineer,Chicago,High School
47,Female,38,36-45,28110,Engineer,New York,PhD
48,Male,33,26-35,99309,Teacher,New York,Bachelor's
49,Female,62,56+,47266,Freelancer,Houston,PhD
50,Female,35,26-35,72992,Engineer,Chicago,High School
